Family Name,Index
acanthaceae,156
aceraceae,95
adiantaceae,8
adoxaceae,165
agavaceae,184
aizoaceae,52
alismataceae,170
amaranthaceae,49
amaryllidaceae,185
anacardiaceae,94
apocynaceae,142
aponogetonaceae,174
aquifoliaceae,99
araceae,195
araliaceae,128
aristolochiaceae,44
asclepiadaceae,143
aspidiaceae,19
aspleniaceae,17
azollaceae,25
balanophoraceae,46
balsaminaceae,98
basellaceae,56
berberidaceae,63
betulaceae,34
blechnaceae,21
boraginaceae,148
bromeliaceae,190
buddlejaceae,153
butomaceae,171
buxaceae,102
cactaceae,118
callitrichaceae,150
campanulaceae,168
cannabaceae,39
cannaceae,202
capparidaceae,67
caprifoliaceae,164
celastraceae,100
ceratophyllaceae,60
chenopodiaceae,48
cistaceae,112
clusiaceae,109
cneoraceae,89
commelinaceae,191
compositae,169
convolvulaceae,146
coriariaceae,93
cornaceae,127
corylaceae,35
crassulaceae,72
cruciferae,68
cryptogrammaceae,10
cucurbitaceae,117
cupressaceae,28
cyperaceae,199
cytinaceae,45
datiscaceae,116
diapensiaceae,130
dicksoniaceae,12
dioscoreaceae,186
dipsacaceäe,167
droseraceae,71
ebenaceae,137
elaeagnaceae,108
elaphoglossaceae,20
elatinaceae,115
empetraceae,133
ephedraceae,30
equisetaceae,4
ericaceae,132
eriocaulaceae,192
escalloniaceae,76
euphorbiaceae,87
fagaceae,36
frankeniaceae,114
gentianaceae,140
geraniaceae,83
gesneriaceae,159
globulariaceae,155
gramineae,193
grossulariaceae,77
guttiferae,109
gymnogrammaceae,11
haloragaceae,124
hippocastanaceae,97
hippuridaceae,126
hydrangeaceae,75
hydrocharitaceae,172
hydrophyllaceae,147
hymenophyllaceae,15
hypolepidaceae,13
iridaceae,188
isoetaceae,3
juglandaceae,33
juncaceae,189
juncaginaceae,175
labiatae,151
lauraceae,65
leguminosae,81
lemnaceae,196
lentibulariaceae,161
lilaeaceae,176
liliaceae,183
linaceae,86
loranthaceae,43
lycopodiaceae,1
lythraceae,119
magnoliaceae,64
malvaceae,106
marsileaceae,23
martyniaceae,158
meliaceae,91
menyanthaceae,141
molluginaceae,53
moraceae,38
musaceae,200
myoporaceae,162
myricaceae,32
myrsinaceae,134
myrtaceae,121
najadaceae,182
nelumbonaceae,59
nyctaginaceae,50
nymphaeaceae,58
oenotheraceae,123
oleaceae,139
onagraceae,123
ophioglossaceae,5
orchidaceae,203
orobanchaceae,160
osmundaceae,6
oxalidaceae,82
paeoniaceae,62
palmae,194
papaveraceae,66
parnassiaceae,74
passifloraceae,111
pedaliaceae,157
phytolaccaceae,51
pinaceae,26
pittosporaceae,78
plantaginaceae,163
platanaceae,79
plumbaginaceae,136
poaceae,193
polemoniaceae,145
polygalaceae,92
polygonaceae,47
polypodiaceae,22
pontederiaceae,187
portulacaceae,55
potamogetonaceae,177
proteaceae,41
pteridaceae,9
punicaceae,122
pyrolaceae,131
rafflesiaceae,45
ranunculaceae,61
resedaceae,69
rhamnaceae,103
rosaceae,80
ruppiaceae,178
rutaceae,88
salicaceae,31
salviniaceae,24
santalaceae,42
sapindaceae,96
sarraceniaceae,70
saxifragaceae,73
scheuchzeriaceae,173
scrophulariaceae,154
simaroubaceae,90
sinopteridaceae,7
solanaceae,152
sparganiaceae,197
staphyleaceae,101
styracaceae,138
tamaricaceae,113
taxaceae,29
taxodiaceae,27
tetragoniaceae,54
theligonaceae,125
thelypteridaceae,16
thymelaeaceae,107
tiliaceae,105
trapaceae,120
tropaeolaceae,84
typhaceae,198
ulmaceae,37
umbelliferae,129
urticaceae,40
valerianaceae,166
verbenaceae,149
violaceae,110
vitaceae,104
zannichelliaceae,181
zingiberaceae,201
zosteraceae,180
zygophyllaceae,85