Genus Name,Family,Genus
Abelmoschus Medicus,106,13
Abies Miller,26,1
Abutilon Miller,106,9
Acacia Miller,81,4
Acalypha L.,87,5
Acantholimon Boiss.,136,3
Acanthus L.,156,1
Acer L.,95,1
Aceras R. Br.,203,25
Achillea L.,169,58
Achnatherum Beauv.,193,106
Achyranthes L.,49,3
Acinos Miller,151,26
Aconitum L.,61,11
Acroptilon Cass.,169,136
Adenophora Besser,168,4
Adenostyles Cass.,169,92
Adiantum L.,8,1
Adoxa L.,165,1
Aegilops L.,193,52
Aegopodium L.,129,26
Aesculus L.,97,1
Aetheorhiza Cass.,169,165
Aethionema R. Br.,68,75
Agrimonia L.,80,11
Agropyron Gaertner,193,49
Agrostemma L.,57,26
Agrostis L.,193,87
Ailanthus Desf.,90,1
Aira L.,193,76
Airopsis Desv.,193,78
Aizoon L.,52,1
Ajuga L.,151,1
Aldrovanda L.,71,1
Alhagi Gagnebin,81,73
Alisma L.,170,4
Alkanna Tausch,148,12
Ainus Miller,34,2
Aloe L.,183,14
Alternanthera Forskal,49,4
Althenia Petit,181,1
Alyssoides Miller,68,48
Alyssum L.,68,50
Amaranthus L.,49,2
Ambrosia L.,169,49
Ambrosina Bassi,195,9
Amelanchier Medicus,80,30
Ammannia L.,119,2
Ammi L.,129,66
Ammochloa Boiss.,193,38
Ammoides Adanson,129,68
Ammophila Host,193,90
Amorpha L.,81,42
Ampelodesmos Link,193,107
Amphoricarpos Vis.,169,105
Amsinckia Lehm.,148,26
Anabasis L.,48,29
Anaeamptis L. C. M. Richard,203,28
Anacylus L.,169,63
Anarrhinum Desf.,154,9
Anchusa L.,148,21
Andrachne L.,87,1
Androcymbium Willd.,183,15
Andromeda L.,132,16
Andropogon L.,193,149
Androsace L.,135,3
Andryala L.,169,180
Andrzeiowskia Reichenb.,68,62
Anemone L.,61,14
Anethum L.,129,41
Anogramma Link,11,1
Antennaria Gaertner,169,26
Anthoxanthum L.,193,82
Anthriscus Pers.,129,13
Anthyllis L.,81,63
Antinoria Pari.,193,80
Antirrhinum L.,154,10
Apera Adanson,193,32
Aphanes L.,80,24
Aphyllanthes L.,183,11
Apios Fabr.,81,44
Aposeris Cass.,169,156
Aptenia N. E. Br.,52,5
Aquilegia L.,61,22
Arachis L.,81,74
Araujia Brot.,143,2
Arbutus L.,132,12
Arceuthobium Bieb.,43,3
Archangelica N. M. Wolf,129,80
Arctagrostis Griseb.,193,25
Arctium L.,169,112
Arctostaphylos Adanson,132,13
Arctotheca Wendl.,169,103
Arctous A. Gray,,
Aremonia Nestler,80,12
Arenaria L.,57,1
Argemone L.,66,3
Argusia Boehmer,148,1
Argyrolobium Ecklon  Zeyher,81,29
Arisarum Miller,195,8
Aristolochia L.,44,2
Armeria Willd.,136,4
Armoracia Gilib.,68,39
Arnoseris Gaertner,169,151
Arrhenatherum Beauv.,193,64
Artemisia L.,169,88
Arthrocnemum Moq.,48,20
Arum L.,195,6
Aruncus L.,80,5
Arundinaria Michx,193,2
Arundo L.,193,108
Asarina Miller,154,11
Asarum L.,44,1
Asclepias L.,143,4
Asparagus L.,183,48
Asperugo L.,148,27
Asperula L.,144,4
Asphodeline Reichenb.,183,6
Asphodelus L.,183,5
Aster L.,169,7
Asteriscus Miller,169,39
Asterolinon Hoffmanns.  Link,135,10
Astragalus L.,81,38
Astrantia L.,129,6
Astrodaucus Drude,129,103
Asyneuma Griseb.  Schenk,168,8
Athamanta L.,129,37
Athyrium Roth,18,1
Atractylis L.,169,107
Atraphaxis L.,47,12
Atriplex L.,48,6
Atropis Rupr.,193,21
Aubrieta Adanson,68,44
Aulacospermum Ledeb.,129,50
Avellinia Park,193,85
Axyris L.,48,10
Azolla Lam.,25,1
Azorina Feer,168,2
Bacopa Aublet,154,3
Baldellia Pari.,170,2
Ballota L.,151,15
Balsamita Miller,169,71
Barbarea R. Br.,68,36
Badia Pari.,203,27
Bartsia L.,154,31
Bassia All.,48,12
Beckmannia Host,193,27
Bellardia Ail.,154,33
Bellardiochloa Chiov.,193,17
Bellevalia Lapeyr.,183,33
Beilis L.,169,5
Bellium L.,169,6
Berardia Vili.,169,111
Bergenia Moench,73,2
Berula Koch,129,28
Beta L.,48,2
Betonica L.,151,16
Betula L.,34,1
Biarum Schott,195,7
Biebersteinia Stephan,83,3
Bifora Hoffm.,129,18
Bilderdykia Dumort.,47,3
Biscutella L.,68,78
Blackstonia Hudson,140,3
Blechnum L.,21,1
Blysmus Panzer,199,2
Blyxa Noronha ex Thouars,172,8
Bolboschoenus Ascherson,,
Boleum Desv.,68,98
Bonannia Guss.,129,83
Bonaveria Scop.,81,62
Borago L.,148,23
Bornmuellera Hausskn.,68,55
Boschniakia C. A. Meyer,160,3
Botrychium Swartz,5,2
Brachyapium Bâillon,,
Brachypodium Beauv.,193,45
Braya Sternb.  Hoppe,68,10
Brimeura Salisb.,183,31
Bruckenthalia Reichenb.,132,2
Brunnera Steven,148,20
Bryonia L.,117,3
Bryophyllum Salisb.,72,2
Buddleja L.,153,1
Bufonia L.,57,5
Buglossoides Moench,148,6
Bulbocastanum Miller,129,21
Bulbocodium L.,183,17
Bunium L.,129,21
Buphthalmum L.,169,36
Bupleurum L.,129,56
Butomus L.,171,1
Buxus L.,102,1
Cacalia L.,169,99
Cachrys L.,129,52
Calamagrostis Adanson,193,91
Calamintha Miller,151,27
Caldesia Pari.,170,5
Calepina Adanson,68,104
Calicotome Link,81,10
Callianthemum C. A. Meyer,61,3
Calligonum L.,47,11
Callipeltis Steven,144,6
Calluna Salisb.,132,3
Caiophaca Fischer,81,37
Caltha L.,61,10
Calycocorsus F. W. Schmidt,169,175
Calypso Salisb.,203,32
Calystegia R. Br.,146,4
Camelina Crantz,68,66
Campanula L.,168,1
Camphorosma L.,48,11
Cannabis L.,39,2
Capnophyllum Gaertner,129,85
Capparis L.,67,1
Capsella Medicus,68,68
Caragana Fabr.,81,36
Caralluma R. Br.,143,8
Cardamine L.,68,41
Cardaria Desv.,68,81
Cardiospermum L.,96,1
Cardopatum Pers.,169,109
Carduncellus Adanson,169,144
Carlina L.,169,106
Carpesium L.,169,34
Carpinus L.,35,1
Carpobrotus N. E. Br.,52,3
Carya Nutt.,33,2
Cassandra D. Don,132,17
Cassiope D. Don,132,4
Castanea Miller,36,2
Castellia Tineo,193,10
Catabrosa Beauv.,193,30
Catabrosella Tzvelev,,
Catananche L.,169,147
Cedronella Moench,151,17
Cedrus Trew,26,6
Ceiosia L.,49,1
Celsia L.,154,7
Cenchrus L.,193,142
Centaurium Hill,140,4
Centunculus L.,135,12
Cephalanthera L. C. M. Richard,203,3
Cephalaria Schrader,167,2
Cephalorrhynchus Boiss.,169,167
Ceratocapnos Durieu,66,15
Ceratocarpus L.,48,9
Ceratocephalus Pers.,61,20
Ceratonia L.,81,2
Ceratophyllum L.,60,1
Ceratostigma Bunge,136,2
Cercis L.,81,1
Cerefolium Fabr.,129,13
Cereus Miller,118,2
Cerinthe L.,148,10
Cestrum L.,152,15
Chaerophyllum L.,129,12
Chaetopogon Janchen,193,92
Chamaecyparis Spach,28,2
Chamaecytisus Link,81,13
Chamaedaphne Moench,132,17
Chamaemelum Miller,169,59
Chamaepericlymenum Hill,127,1
Chamaerops L.,194,1
Chamaespartium Adanson,81,17
Chamomilla S. F. Gray,169,61
Chamorchis L. C. M. Richard,203,14
Chartolepis Cass.,169,140
Cheilanthes Swartz,7,1
Cheiranthus L.,69,26
Cheirolophus Cass.,169,129
Chelidonium L.,66,6
Chenopodium L.,48,3
Chimaphila Pursh,131,4
Chronanthus DC.,,
Chrysanthemoides Fabr.,169,101
Chrysanthemum L.,169,66
Chrysopogon Trin.,193,147
Chrysosplenium L.,73,3
Cicendia Adanson,140,1
Cicer L.,81,48
Cicerbita Wallr.,169,170
Cichorium L.,169,146
Cimicifuga L.,61,9
Cionura Griseb.,143,7
Circinnus Medicus,81,61
Cirsium Miller,169,118
Cistanche Hoffmanns.  Link,160,1
Cistus L.,112,1
Citrullus Schrader,117,4
Citrus L.,88,4
Cladanthus Cass.,169,62
Cladium Browne,199,8
Clausia Trotzky,68,27
Cleistogenes Keng,193,120
Clematis L.,61,17
Clinopodium L.,151,28
Clypeola L.,68,57
Cneorum L.,89,1
Cnidium Cusson,129,75
Cochlearia L.,68,63
Coeloglossum Hartman,203,18
Coincya Rouy,68,94
Coix L.,193,154
Colchicum L.,183,16
Coleanthus Seidl,193,100
Coleostephus Cass.,169,80
Colladonia DC.nonSprengel,129,53
Colocasia Schott,195,5
Comandra Nutt.,42,1
Commelina L.,191,3
Commicarpus Standley,50,1
Comperia C. Koch,203,21
Conioselinum Hoffm.,129,79
Conium L.,129,47
Conopodium Koch,129,22
Conringia Adanson,68,84
Consolida DC.,,
Corallorhiza Chatel.,203,31
Corema D. Don,133,1
Coriandrum L.,129,17
Coriaria L.,93,1
Corispermum L.,48,14
Cornucopiae L.,193,95
Coronaria Schaeffer,57,25
Coronilla L.,81,65
Coronopus Haller,68,82
Corrigiola L.,57,14
Cortaderia Stapf,193,110
Cortusa L.,135,4
Corydalis Vent.,66,10
Corylus L.,35,3
Corynephorus Beauv.,193,84
Cotinus Miller,94,2
Cotoneaster Medicus,80,31
Cousinia Cass.,169,113
Crambe L.,68,103
Crassula L.,72,1
Crithmum L.,129,29
Crithopsis Jaub.  Spach,193,51
Crocus L.,188,7
Crucianella L.,144,3
Cruciata Miller,144,7
Crypsis Aiton,193,123
Cryptogramma R. Br.,10,1
Cryptomeria D. Don,27,4
Ctenopsis De Not.,193,7
Cucumis L.,117,5
Cucurbita L.,117,6
Culcita C. Presi,12,1
Cuminum L.,129,58
Cupressus L.,28,1
Cyanopsis Cass.,169,134
Cyclamen L.,135,7
Cycloloma Moq.,48,4
Cyclosorus Link,16,2
Cydonia Miller,80,25
Cymbalaria Hill,154,15
Cymbaria L.,154,38
Cynanchum L.,143,5
Cynocrambe Gagnebin,125,1
Cynodon L. C. M. Richard,193,126
Cynoglossum L.,148,34
Cynomorium L.,46,1
Cynosurus L.,193,28
Cypripedium L.,203,1
Cystopteris Bernh.,18,3
Cytinus L.,45,1
Cytisus L.,81,12
Daboecia D. Don,132,11
Dactyloctenium Willd.,193,125
Dactylorhiza Necker ex Nevski,203,19
Damasonium Miller,170,6
Datisca L.,116,1
Davallia Sm.,14,1
Daveaua Willk. ex Mariz,169,77
Degenia Hayek,68,49
Dentaria L.,68,41
Deschampsia Beauv.,193,74
Dethawia Endl.,129,31
Deutzia Thunb.,75,2
Diapensia L.,130,1
Diarthron Turcz.,107,3
Dicentra Bernh.,66,9
Dichanthium Willemet,193,148
Dichondra J. R.  G. Forster,146,3
Dictamnus L.,88,3
Didesmus Desv.,68,102
Digitaria Haller,193,137
Dioscorea L.,186,1
Diosphaera Buser,168,6
Diospyros L.,137,1
Dipcadi Medicus,183,35
Diplazium Swartz,18,2
Dipsacus L.,167,3
Diptychocarpus Trautv.,68,32
Dispermotheca Beauverd,154,30
Disphyma N. E. Br.,52,6
Dittrichia W. Greuter,169,32
Dodartia L.,154,6
Doronicum L.,169,94
Dorycnium Miller,81,58
Dorycnopsis Boiss.,81,63
Dracocephalum L.,151,20
Dracunculus Miller,195,10
Drosophyllum Link,71,3
Dryopteris Adanson,19,2
Drypis L.,57,30
Duchesnea Sm.,80,22
Dupontia R. Br.,193,24
Ebenus L.,81,72
Echinochloa Beauv.,193,134
Echinocystis Torrey  A. Gray,117,7
Echinophora L.,129,10
Echinops L.,169,110
Echium L.,148,14
Eclipta L.,169,43
Egeria Planchon,172,4
Eichornia Kunth,187,3
Elaeagnus L.,108,2
Eleocharis R. Br.,199,4
Eleusine Gaertner,193,124
Elisma Buchenau,170,3
Elodea Michx,172,5
Elodes Adanson,109,1
Elyna Schrader,199,11
Elytrigia Desv.,193,48
Emex Campd.,47,9
Empetrum L.,133,2
Enarthrocarpus Labili.,68,107
Endressia Gay,129,74
Endymion Dumort.,183,28
Ephedra L.,30,1
Epilobium L.,123,5
Epimedium L.,63,4
Epipactis Zinn,203,2
Epipogium R. Br.,203,5
Equisetum L.,4,1
Eragrostis N. M. Wolf,193,121
Eranthis Salisb.,61,2
Erechtites Rafin.,169,95
Eremopoa Roshev.,193,18
Eremostachys Bunge,151,8
Eremurus Bieb.,183,9
Erica L.,132,1
Erigeron L.,169,8
Erinacea Adanson,81,23
Erinus L.,154,18
Eriobotrya Lindley,80,29
Eriocaulon L.,192,1
Eriochloa Kunth,193,136
Eriophorum L.,199,3
Eritrichium Schrader ex Gaudin,148,30
Eruca Miller,68,90
Erucaria Gaertner,68,99
Erucastrum C. Presi,68,91
Eryngium L.,129,7
Erysimum L.,68,18
Erythronium L.,183,21
Eschscholzia Cham.,66,7
Euclidium R. Br.,68,34
Euonymus L.,100,1
Eupatorium L.,169,1
Euphorbia L.,87,7
Eurotia auct.nonAdanson,48,8
Eutrema R. Br.,68,7
Euzomodendron Cosson,68,86
Evacidium Pomel,169,19
Evax Gaertner,169,16
Eversmannia Bunge,81,69
Exaculum Caruel,140,2
Fagonia L.,85,2
Fagopyrum Miller,47,5
Fagus L.,36,1
Falcarla Fabr.,129,70
Fascicularia Mez,190,1
Fedia Gaertner,166,3
Ferula L.,129,86
Ferulago Koch,129,87
Festuca L.,193,4
Fibigia Medicus,68,51
Filaginella Opiz,169,22
Filipendula Miller,80,6
Fimbristylis Vahl,199,6
Foeniculum Miller,129,40
Fontanesia Labili.,139,2
Forsythia Vahl,139,3
Fragaria L.,80,21
Frangula Miller,103,4
Frankenia L.,114,1
Fraxinus L.,139,4
Freesia Ecklon ex Klatt,88,6
Fuirena Rottb.,199,5
Fumana Dunal,,
Furcraea Vent.,184,2
Gagea Salisb.,183,20
Gaillardia Foug.,169,54
Galactites Moench,169,123
Galanthus L.,185,4
Galega L.,81,32
Galeopsis L.,151,10
Gamochaeta Weddell,169,21
Garidella L.,61,5
Gastridium Beauv.,193,88
Gaudinia Beauv.,193,66
Gaudiniopsis Eig,193,67
Gaultheria L.,132,14
Gazania Gaertner,169,104
Gelasia Cass.,169,161
Genistella Ortega,81,17
Gennaria Pari.,203,10
Gentiana L.,140,5
Gentianella Moench,140,6
Geranium L.,83,1
Geropogon L.,169,162
Geum L.,80,17
Girgensohnia Bunge,48,28
Gladiolus L.,188,10
Glaucium Miller,56,5
Glaux L.,135,11
Glechoma L.,151,19
Gleditsia L.,81,3
Glinus L.,53,2
Globularia L.,155,1
Glossopappus G. Kunze,169,78
Glyceria R. Br.,193,42
Glycine Willd.,81,47
Glycyrrhiza L.,81,41
Gomphocarpus R. Br.,143,3
Goniolimon Boiss.,136,6
Gonocytisus Spach,81,19
Goodyera R. Br.,203,9
Gossypium L.,106,11
Grafia Reichenb.,129,38
Grindelia Willd.,169,2
Groenlandia Gay,177,2
Guillonea Cosson,129,97
Guiraoa Cosson,68,106
Guizotia Cass.,169,40
Gunnera L.,124,1
Gymnadenia R. Br.,203,15
Gymnocarpium Newman,19,3
Gymnospermium Spach,63,2
Gymnostyles Juss.,169,87
Gynandriris Pari.,188,4
Gypsophila L.,57,31
Haberlea Friv.,159,1
Hackelia Opiz,148,31
Hainardia W. Greuter,193,98
Hakea Schrader,41,1
Halenia Borkh.,140,9
Halimione Aellen,48,7
Halimium Dunal,,
Halimocnemis C. A. Meyer,48,33
Halocnemum Bieb.,48,19
Halogeton C. A. Meyer,48,34
Halophila Thouars,172,10
Halostachys C. A. Meyer,48,18
Haloxylon Bunge,48,30
Hammarbya O. Kuntze,203,35
Hammatolobium Fenzl,81,67
Haplophyllum A. Juss.,88,2
Hebe Commerson,154,22
Hedychium Koenig,201,1
Hedypnois Miller,169,154
Hedysarum L.,81,70
Heleochloa Host,193,123
Helianthemum Miller,112,4
Helianthus L.,169,45
Helichrysum Miller,169,24
Helictotrichon Besser,193,61
Heliopsis Pers.,169,51
Heliotropium L.,148,2
Helleborine Miller,203,2
Helleborus L.,61,1
Hemarthria R. Br.,193,153
Hepatica Miller,61,15
Heptaptera Margot  Reuter,129,53
Herminium Guett.,203,11
Hermodactylus Miller,188,2
Herniaria L.,57,16
Hesperis L.,68,20
Heteranthemis Schott,169,67
Heteropogon Pers.,193,151
Himantoglossum Koch,203,26
Hippocrepis L.,81,66
Hirschfeldia Moench,68,93
Hladnikia Reichenb.,129,48
Holosteum L.,57,8
Homogyne Cass.,169,91
Honkenya Ehrh.,57,4
Hordelymus Jessen,,
Hordeum L.,193,57
Horminum L.,151,39
Hornungia Reichenb.,68,71
Hottonia L.,135,6
Huetia Boiss.,129,23
Hugueninia Reichenb.,68,5
Humulus L.,39,1
Huperzia Bernh.,1,1
Hutchinsia R. Br.,68,69
Hutera Porta,68,94
Hyacinethella Schur,183,34
Hyacinthoides Medicus,183,28
Hyacinthus L.,183,30
Hydrilla L. C. M. Richard,172,6
Hydrocharis L.,172,1
Hydrocotyle L.,129,1
Hymenocarpus Savi,81,61
Hymenophyllum Sm.,15,1
Hyoscyamus L.,152,5
Hyoseris L.,169,153
Hypecoum L.,66,8
Hypericum L.,109,1
